sid,album_id,name,duration_ms,release_date
2nqUs4DYLEDAiN2Asw6neV,6GWD1ij0V1ICTnN2MQRDYz,Calendar Green,274827,1999-01-01
56g5YnXc5lND1JKwHvVmtl,0GIVXALgtLUTutTb2e9IWP,"Serenade for Strings in C Major, Op. 48, TH 48: III. Élégie",484227,1994-02-01
0XFlg8gryhkGNr8LbOtg9u,5FEdkLdxA2Iwh2EzfrvqsR,Pa Ella,247120,2019-09-27
1F3AaZgEV4tiIwrTm3KU1C,5MX7SERtmC5ObbiWxgVhKb,"Independent Ladies, Pt. 1",33959,2006-04-26
6VhOoXU0kCbxBv1rXJsYOn,0cfmiwgDzf8RMQzm5D9WBJ,Peaceful,552013,2006-08-14
7vreVZg4w59b32V1NtadLs,0FlQ67awnVMDfZNFsMSqbI,12 Veladoras,208600,2016-04-25
5pKELac0jxLRKRJ38jtXtG,0yX6V0ohP5UHsmcY1ArxIo,Adoro te devote,166493,1996-11-01
02Z2cSHafBwVHSXIMOznWk,3o25XaChasRqG7pIknYBfL,The Key to the Mystery,357640,2008-01-01
7wmW2kWf0rs3PkYPtYrg41,39cND2Z0TvgdQXirXLVjeg,No Love,185160,1995-05-30
4LNJZop0ue4l84BNT2YTAN,4lZOjhbFH530HK6zdzJ8sK,Wanted For Love,198120,1982-10-30
2xbHmneQtHEXu0VXPIWr7e,3VwLtl8SXrYkPD5fcfeIaG,"Jephta und seine Tochter, Pt. 2: No. 19, Wie die Sonne aufgeht in ihrer Macht",212467,2004-11-16
13ciNQNfNo6yITcdcftFsf,4QKbFCdzFOyx1rQtgLA4cf,Ay Papi!,104840,2015-01-03
5txDReVn0EjVRlG3D9Wa8h,4KjVhNZM2ITRteJaf3QeOj,Ain't Nobody Trippin',209333,1992-04-24
2vK5HwcDYeREdyq36ecvjR,6POMmUue7sNZcGPLkg4fSv,Celestial,315700,2020-09-14
5xqDoX9PeZtmKAs2b6xaCK,2T2G5q8KHo5wAAitrRzJN0,Freedom or Fire,311293,1998-07-20
3ecQr7rCT7h2eL0bljwsmo,6uRw5hrCzwRGrLuPQQiuvB,Cotton Fields,81200,2003-02-18
5wrXf4khju3JgRP4ifzpzx,48gnAQBwCcEqxXj9nfsYpS,Blue Pariah,111840,1996-01-01
3AUoW6fh9JdH505hJESABz,1pmkqhRlbMn1ABFkLDAU0N,Ronda Del Pececillo De Plata,120440,2007-11-01
52bkpcahUXPIAbjCJgal7D,2bXGg13BrGxBUUUWl233X8,One Thing True,281520,2009-07-24
6IOzde40BiXJbCx679TTSL,0bh0XYNyfyC2rybpzHTC85,Don Cuummoney,113316,2019-12-15
55tevo6vHJEn12nzuSdJ6R,1hG9qANsJg5lYm36MYun97,It’s All on U,204000,2016-02-15
4nkIPeKwHnzAJa26MaaGdn,5sAadl6KC0V8WpFcePQGWE,What Daze,163760,2005-01-01
4ldi9ySTY7e4rwsP0D2keZ,0DgDm9KEj2qaJzJscyGwGN,A Closed Circle (Farewell),169089,2014-06-03
4BB3369RIqhQrM410K3dTc,7s4ySp4rPSqmAoczbeuPIu,My Block,229253,2006-01-17
5IXKTMLjRxMrXuIexendPQ,1HmEYDDrm8pKZAbMeUzrki,Ageless,402000,1999-01-01
0r428sCr7h3664tMl3HnxC,7hPvg4At1cU8qzjOZZGkez,Cold Beer Featuring Jamey Johnson,222253,2008-07-04
1oEcjRah8806hoYVnLD9GO,7GFC0Mz41nX553r2YVtwu2,Mr. Magic,654400,1998-04-21
1Od1p5f6818YQhWGDoOPw8,1bd1acNHJcm73joXt9x2OV,You Mean More (feat. Luke James and Major),215300,2019-10-24
1Q5PmmAqdUESrVMSYN7dz6,3EAhVlyNoBsbjkXtA11J1x,Paper Dress - Live,351520,2008-09-16
1nMAameJ88kte7BkUMzGps,75j4zDqweMRmEGMfW4fIaQ,"Dido and Aeneas, Z. 626: Act II: Ritornelle",45520,2008-01-01
6p9pGlBPCP5GycAJC0mOcY,7keErDB0G7SwhfhBlEOdyC,To Love (feat. Shannon Saunders) - Qubiko Extended Remix,377020,2018-11-30
63EdAftDA8tC7ixonKdx3Y,6qqhmCOwCFPNv2Mtkc0fBS,"Polonaise, Op. 55",266933,2001-12-11
6JdnLuSIRWP96w64TqybpS,78ElkzRJscebPOeKpxSqXr,"10 Pieces, Op. 69: Romance in G Minor, Op. 69, No. 8",371800,1998-03-11
7FCdPoAqU6iHSoMgbfcSZ1,4ILgRqkYeA3Y7pr8dRiE3C,"The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"" (Arr. M. Meštrović): III. Allegro",225025,2017-08-11
4sNxgEWlbu4zliQOl3921o,2bz92MjTEWBR3qEfTSfPqs,"Salve Regina, W. E24: III. Ad te suspiramus. Andante",236867,2001-05-13
3rvpkh2oTaD81OFRZmf0pu,1u2L3lHH7oAZKCkW7Axx2Y,"Nalady, dojmy a upominky (Moods, Impressions and Reminiscences), Op. 41: No. 50 in A-Flat Major: Adagio",117000,1995-06-01
7J2iPxDsFfGln2kiFRfHHk,4MKNaPwkRRC4xQkf8YEnVK,"The Grizzard, Pt. 1",745450,2019-09-20
3IxmlKXddrCjXcEkvffVwk,6oAJjNowQzxPm7MCeTocTU,Brujeria De Amor,381600,2001-01-01
3kjBiVxCf38MoQt9eXNBY8,4mw1SCM9sPDTPq53XCDrRt,"Doin the Most (feat. Dr.dre, Knc-Turn'al & Timebomm)",258912,2015-07-04
5pW96EsZNwzibIUPUYWtQ7,12UWPNKZK2RHDwQlewa9US,Coming Home - Vip Rmx,422467,2011-03-25
7HKa9t3LyfNlnHtbvRDo6K,7kwKLBGSrHFneRxA4JVgsv,Churro,147173,2019-01-18
5AUEJThVXIaR2Xa3K2s1Sr,26OrozXh7YoH0iEmVoy8DR,Through the Halls of Time,341161,2019-11-08
4jewbSonPddYgYrBxlvHX9,6sseieZxXtLN2z3XxL6hRW,Time to Grow,229440,2000-04-20
2Mu5tnFN6dtjgfcvfohOoG,25IPtM75r8zEE9MZFFC1wS,Dangerous (O.M.),361667,2011-10-11
7vXLbrEnvFut9vei4CSWJv,2v8gHuNubVvNhp2TkuNynE,"Nun komm, der Heiden Heiland, BWV 659",341667,2018-08-31
0MclYwSuAej8oxRZLZxLwZ,0pYGv8wHZXrl36GndYKg3g,"Symphony No. 2, Op. 30, ""Romantic"": I. Adagio - Allegro moderato",821333,1992-01-01
3aFkCAEv9NxINQt2JCbjuU,4q2Y8hNFRCJgVyqf2Iko7I,Epilogue,124160,2005-10-03
2UpeoutEHHboOilwhvIpdy,3081jxfdqFMlZYC2STqErT,"Mass, H. 1: Gloria",141840,1997-03-13
0nt5m6ZoO9CnchFNktBPr5,16B7NyhyBxRX0b9rzYqjmP,The 55,191503,2015-03-26
3jWbUb98gOJ99wfNMTYdzw,2sdaRi5CguacIrDU6sBrgH,Extraordinary,206037,2017-07-10
0ly1RTjOQaJaZdAd9mRbOR,0ug1TpTxX1fVVg1AhnqhGz,Terrestrial Birds,391047,2020-09-25
2pRFDtoFlZzfXi8m2vucsv,4g23dh1n8ZcvFSFaslvvFm,"Ivan Grozniy (Ivan the Terrible), Op. 116: Part I Scene 3: The Wedding: Riot",68267,2003-11-01
5uI1vcND0vph80NTVkRK3Y,2Lex91FtevkKUDe4Ws0uvZ,Hot Wings,220613,2019-05-08
4XA277ECmdGePmhOQDqEgY,060qumjQpSc2ysVCptal09,Hand Gestures - Original,191051,2015-02-23
3E7elhk68AMk7FwBjttryW,4IFuTsN2aWyIysDMui5VnR,Auster,515633,2018-09-14
5oEhsR5aMUeEbKrn3OOU5A,6AZ0MDFY6owkFc5ooZ9fkg,Freitag Nacht,176203,2020-11-12
18Wt5T9M2akoeRW0ItSbLh,4Y5LiFHvpozTS8BdOOWEGU,"Silvana, J. 87: Act II: Sah ich sonst ein Madchen",137533,1997-08-13
1K51qmIf3nP05YIScLYx7X,2hfFKjFfTDgL0Iv41keqBO,Attack Ships on Fire,294412,2015-05-18
6NeywJeDtbg7gTHBCT3Mte,2p4iejMBrnsCurLxsE06j5,"Keyboard Concerto in F Minor, BWV 1056: Piano Concerto No. 5 in F Minor, BWV 1056: Largo",169093,1997-07-01
4J7V0jJ1ma0lXAw5sMZRam,3KvTiS9JDUb7IR1xOWl9Wj,Loved By You,297518,2019-11-01
4w8ykSlU89dYmRQQM4GcRJ,6SAKT9M19ZekFxHY9TNdsj,Motherboxxx,163360,2011-04-12
6d16812ATxbVByyVgoEWBZ,1ffwOMDrGp8qSeFeYHrW8H,Silvery Sometimes (Ghosts),210661,2018-09-14
5NVCBhVHx44yDtQfRios4v,7dhIVvSGPpwCk1pxmDcLZv,Nine New Preludes for Piano: A Walk In The Park,161520,2019-04-19
6f6Hv4wvP0HKVw1Ag5ozrO,5bT5afInCg0GL81aKNIJok,Night Rider,234001,2012-12-26
318zhfjuYfsz8TIp4Q5GjL,6w3w2FWHqUJWYIn5MfDbxf,the Hillary Step,417867,1999-01-01
1JksY3QA7qtDg1Pio1gYzz,2TOWZsFUf12KQaLKtcE9QS,Bright Lights,206515,2019-12-25
41PRQpeFEpp5ZzPxXtiCIW,2eguEBz1eKmcRQjoIWWqzd,Aimee - studio,199560,2006-05-01
6NZQ8jt5z31FwqLHsJN8a6,4dXLwvEKixBAmxv3DXpjEH,Hexagammatron,330133,2015-08-06
0BjHqy5tDvKhgIvcAla410,7e4Cd8j6mEO6J4x1Fbl9E0,Howling of the Jinn,154573,2007-07-10
1AZjXqf9JywSwZMN6N3peV,7KFMXw2PU6OW3OCzC9hHUZ,"Don Giovanni - Dramma giocoso in zwei Akten, KV. 527: Presto, presto pria ch'ei venga (Masetto, Zerlina, Don Giovanni, Coro di s",389267,1994-08-09
0CONn5ofSDIdWW1VP92OzY,2cDK1Eg3LONqzmRas1PpkM,Put On Your Sunday Clothes,257093,1989-08-01
1AaOh8kb1klra0cud5jZvg,4IrUfr44mLtAA0ckjK6QTF,Since I Lost You,267067,2000-01-01
3a7g1D4Sp1l7G8siX7jHAx,7l8R031bDWvWNOnhDusW35,A Child of our Time: Part 1: Chorus of the Oppressed - When shall the usurers' city cease,141160,2005-02-01
4X85AQmk1w7oErO7HbGeEl,57GzYU7y1oX5A4YzcsVw3I,Sonatine for 2 Violins: I. Allegro moderato,418107,2016-10-30
5EmbIrZXfokITYHbsT8CMg,0zo1r5SdTse6Db38NxkiK3,Zebra Cake,238260,2019-06-26
0oQGbsUtdMHjyYJ37jOFyO,1HpznFF6B8swgsIcbDoob0,Pieces,290307,1999-01-01
0GU33OZpazHp6C8jsEZalX,53PHJGBDiFKy2fhfaXP3em,Nine Dudes Freaking Out,242787,2009-03-31
1qmlh1x3L8SALClvK0XO36,7MgdBdKl1aUb0goNIokTn4,As I Dream on the Shore,98462,2019-06-10
0YtyqOVJVNYCUZ5iIjR8VA,1lb3VTBQ0iWTULgVUATFWt,Not Wrong Long,169107,2009-08-24
1ZPvt8lzMYTfncYEF5eVw0,3iY7wq223DPg8UQTQO9tR3,Kill Or Be Killed (No Vocals),134007,2010-10-01
3TtPcejZBMZi9ySU9YdGnM,4V5POQ8hJnHsJNj6XcVhCq,"Elektra, Op. 58, TrV 223: Ein jeder (Elektra, Klytamnestra)",181693,2005-01-01
42AXWJWk3aRNepM5oiDiXD,4Qp533wvzwlDdJpdmT0T54,"Overture in B-Flat Major, Op. 17, No. 5, WKO 35: I. Allegro",267640,1994-01-01
6l992Z1hbPRqdNSFSQ3MEK,1qzoV3hJOPgkoLDMwblS2Q,Jemenez Cricket (Live),248840,1999-08-24
223LjWSaoVX1e0Vo4M61aQ,0iGz9tDb6hInAEe5D6iVVT,First Suite: I. Allegro deciso,387360,1993-03-01
0tMvDTM4AuJdgqUmnG0AnQ,15cpVLBarfbwMnexxa2krc,Fiesta O Duelo,164427,2016-02-19
3SRXZrsXfOMwBIyWIJRjQG,0xAxgruQbNPQuzXYDVnBPT,Elm Grove Window,121027,2020-07-10
4yyA54uQhXA8ycQjv5bMHt,6nEtvyaECZ2aYK57uN6uN4,Understand Please Understand,224746,2012-11-13
7BcfSj6KiGa5EyZG9MJPmh,1NH0HyGxtxhmypu4GE72Ji,Everybody's Guilty,297866,1999-01-01
4nwFzBA46JmO3Vz13wPKLh,1is7ApydEO74WEe0LE7z8G,The Seventy Year Old,105920,2012-05-15
2inqR5rCpsGc85pPOsVIQ7,2HDbpTMDyDGeVZQPIkCBJo,Happy Together (Mono) - Remastered,172488,1967-08-19
30SHKGRTosthSvPAoAODOR,3EDHDGPMKmabJSIN0aHrW9,"Suite No. 3, Op. 33, ""Variations"" (version for orchestra): VIII. Variation VII: Marche funebre",301680,2003-11-29
51pxBSUNa3sBfjJCmm3YSH,2sDf8IRfSUTbsHGw5namYi,Lurline: Act II Scene 3: Recitative and Ballad: The nectar cup (Rhineberg),230720,2010-06-29
2t6QkJ39bAFYI6otYhQZ09,555CY37YtgVd2d102DxQqM,Every Night Of The Year,311942,2020-07-08
0QeCKBTRqq6l7Iu79vVnRK,2blAu1fXtwzpcYrgF10rSI,"Memento, homo",157827,2011-01-04
6gaamTjzcZSkGogR3ndR1D,5VGK5sqmajGu0Ietj1iuNZ,Piano Miniature No. 5,60200,2012-01-01
16OkHrt7bqRPKQzY15zjWd,5vfAgt0hlOqFXTJY4oPW5z,"6 Schubler Chorales, BWV 645-650: Wachet auf, ruft uns die Stimme, BWV 645",294333,1995-01-04
4E8eZAbIyNpscLX1UUL2FB,2ZVx58zH5mUo2y5WlStEOP,Vid livets slut,245693,2012-05-18
2MpnD4ul9TsXioVoTItqEF,705tt4x1hmJwhdM2I1vRmZ,Legendary Loser,260573,2020-04-17
64M1uItf8E4YMzTA8zt2q8,5FwLlq3R0Mzl5t2Rd2poDc,Way That I'm Livin',456827,1998-08-26
0bL1pTf7pfZU0kSUmLRoj1,0oM34jNgYEJlYP53vtvoxE,Someone's Calling Me,260133,2004-06-29
